title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
Kill Bill: Vol. 1,111,Quentin Tarantino,Quentin Tarantino; Quentin Tarantino,Uma Thurman; David Carradine; Daryl Hannah,8.1,671209
Hotel Rwanda,121,Terry George,Keir Pearson; Terry George,Don Cheadle; Sophie Okonedo; Joaquin Phoenix,8.1,244779
Le salaire de la peur,131,Henri-Georges Clouzot,Georges Arnaud; Henri-Georges Clouzot,Yves Montand; Charles Vanel; Peter van Eyck,8.2,32223
Life of Brian,94,Terry Jones,Graham Chapman; John Cleese,Graham Chapman; John Cleese; Michael Palin,8.1,250685
Platoon,120,Oliver Stone,Oliver Stone,Charlie Sheen; Tom Berenger; Willem Dafoe,8.1,270458
Butch Cassidy and the Sundance Kid,110,George Roy Hill,William Goldman,Paul Newman; Robert Redford; Katharine Ross,8.1,139231
There Will Be Blood,158,Paul Thomas Anderson,Paul Thomas Anderson; Upton Sinclair,Daniel Day-Lewis; Paul Dano; Ciarán Hinds,8.1,342533
Network,121,Sidney Lumet,Paddy Chayefsky,Faye Dunaway; William Holden; Peter Finch,8.1,94693
Les quatre cents coups,99,François Truffaut,François Truffaut; Marcel Moussy,Jean-Pierre Léaud; Albert Rémy; Claire Maurier,8.2,64018
Touch of Evil,95,Orson Welles,Orson Welles; Whit Masterson,Charlton Heston; Orson Welles; Janet Leigh,8.2,67330
Stand by Me,89,Rob Reiner,Stephen King; Raynold Gideon,Wil Wheaton; River Phoenix; Corey Feldman,8.1,250412
Persona,85,Ingmar Bergman,Ingmar Bergman,Bibi Andersson; Liv Ullmann; Margaretha Krook,8.2,54926
12 Years a Slave,134,Steve McQueen,John Ridley; Solomon Northup,Chiwetel Ejiofor; Michael Kenneth Williams; Michael Fassbender,8.1,381214
The Princess Bride,98,Rob Reiner,William Goldman; William Goldman,Cary Elwes; Mandy Patinkin; Robin Wright,8.1,272113
In the Name of the Father,133,Jim Sheridan,Gerry Conlon; Terry George,Daniel Day-Lewis; Pete Postlethwaite; Alison Crosbie,8.1,98999
Amores perros,154,Alejandro González Iñárritu,Guillermo Arriaga,Emilio Echevarría; Gael García Bernal; Goya Toledo,8.1,160570
The Grand Budapest Hotel,99,Wes Anderson,Stefan Zweig; Wes Anderson,Ralph Fiennes; F. Murray Abraham; Mathieu Amalric,8.1,400905
Million Dollar Baby,132,Clint Eastwood,Paul Haggis; F.X. Toole,Hilary Swank; Clint Eastwood; Morgan Freeman,8.1,441046
Annie Hall,93,Woody Allen,Woody Allen; Marshall Brickman,Woody Allen; Diane Keaton; Tony Roberts,8.1,175880
Ben Hur,212,William Wyler,Lew Wallace; Karl Tunberg,Charlton Heston; Jack Hawkins; Stephen Boyd,8.1,146438
The Grapes of Wrath,129,John Ford,Nunnally Johnson; John Steinbeck,Henry Fonda; Jane Darwell; John Carradine,8.1,57688
Shutter Island,138,Martin Scorsese,Laeta Kalogridis; Dennis Lehane,Leonardo DiCaprio; Emily Mortimer; Mark Ruffalo,8.1,701448
Kaze no tani no Naushika,117,Hayao Miyazaki,Hayao Miyazaki; Hayao Miyazaki,Sumi Shimamoto; Mahito Tsujimura; Hisako Kyôda,8.1,85761
Hachi: A Dog's Tale,93,Lasse Hallström,Stephen P. Lindsey; Kaneto Shindô,Richard Gere; Joan Allen; Cary-Hiroyuki Tagawa,8.2,130966
Demonen,116,Henri-Georges Clouzot,Pierre Boileau; Thomas Narcejac,Simone Signoret; Véra Clouzot; Paul Meurisse,8.2,38409
Relatos salvajes,122,Damián Szifrón,Damián Szifrón,Darío Grandinetti; María Marull; Mónica Villa,8.2,59820
Stalker,163,Andrei Tarkovsky,Arkadiy Strugatskiy; Boris Strugatskiy,Alisa Freyndlikh; Aleksandr Kaydanovskiy; Anatoliy Solonitsyn,8.2,61739
Gandhi,191,Richard Attenborough,John Briley,Ben Kingsley; John Gielgud; Candice Bergen,8.1,157297
Sin City,124,Frank Miller; Robert Rodriguez,Frank Miller,Mickey Rourke; Clive Owen; Bruce Willis,8.1,614880
De beste jaren van ons leven,172,William Wyler,Robert E. Sherwood; MacKinlay Kantor,Fredric March; Dana Andrews; Myrna Loy,8.2,37152
The Wizard of Oz,102,Victor Fleming; George Cukor,Noel Langley; Florence Ryerson,Judy Garland; Frank Morgan; Ray Bolger,8.1,267966
The Bourne Ultimatum,115,Paul Greengrass,Tony Gilroy; Scott Z. Burns,Matt Damon; Édgar Ramírez; Joan Allen,8.1,448454
